run,real,sys,user
1,2.28,0.00,2.28
2,2.29,0.00,2.29
3,2.29,0.00,2.29
4,2.28,0.00,2.28
5,2.28,0.00,2.28
6,2.29,0.00,2.29
7,2.29,0.00,2.29
8,2.29,0.00,2.29
9,2.29,0.00,2.29
10,2.28,0.00,2.28
11,2.28,0.00,2.28
12,2.28,0.00,2.28
13,2.28,0.00,2.28
14,2.29,0.00,2.29
15,2.29,0.00,2.29
16,2.28,0.00,2.28
17,2.28,0.00,2.28
18,2.28,0.00,2.28
19,2.28,0.00,2.28
20,2.29,0.00,2.28
21,2.28,0.00,2.28
22,2.28,0.00,2.28
23,2.29,0.00,2.28
24,2.29,0.00,2.29
25,2.28,0.00,2.28
26,2.28,0.00,2.28
27,2.28,0.00,2.28
28,2.28,0.00,2.28
29,2.29,0.00,2.28
30,2.28,0.00,2.28
31,2.28,0.00,2.28
32,2.28,0.00,2.28
33,2.28,0.00,2.28
34,2.28,0.00,2.28
35,2.28,0.00,2.28
36,2.28,0.00,2.28
37,2.28,0.00,2.28
38,2.28,0.00,2.28
39,2.28,0.00,2.28
40,2.28,0.00,2.28
41,2.29,0.00,2.29
42,2.28,0.00,2.28
43,2.28,0.00,2.28
44,2.28,0.00,2.28
45,2.28,0.00,2.28
46,2.28,0.00,2.28
47,2.28,0.00,2.28
48,2.28,0.00,2.28
49,2.28,0.00,2.28
50,2.29,0.00,2.29
